order_id,order_date,customer_type,discount_code,net_sales,units,aov,upt,skus
ord_100000,2025-02-14,returning,WELCOME10,55.8,1,55.8,1,CYM-MAG-30
ord_100001,2025-02-14,subscriber,,139.65,2,139.65,2,CYM-PRO-30|CYM-COL-30
ord_100002,2025-02-14,new,WELCOME10,110.7,2,110.7,2,CYM-PRO-30|CYM-MTB-30
ord_100003,2025-02-14,new,FRIEND10,183.6,4,183.6,4,CYM-CRE-30|CYM-ASH-30|CYM-VTC-30|CYM-MTB-30
ord_100004,2025-02-14,returning,,123.0,2,123.0,2,CYM-COL-30|CYM-OMG-60
ord_100005,2025-02-14,returning,,68.0,1,68.0,1,CYM-COL-30
ord_100006,2025-02-14,returning,WELCOME10,192.6,4,192.6,4,CYM-PRO-30|CYM-CRE-30|CYM-OMG-60|CYM-ASH-30
ord_100007,2025-02-14,subscriber,,147.0,2,147.0,2,CYM-GLU-30|CYM-MAG-30
ord_100008,2025-02-14,subscriber,,118.65,2,118.65,2,CYM-COL-30|CYM-CRE-30
ord_100009,2025-02-14,new,SUB15,113.05,2,113.05,2,CYM-PRO-30|CYM-COL-30
ord_100010,2025-02-14,subscriber,FRIEND10,42.52,1,42.52,1,CYM-CRE-30
ord_100011,2025-02-14,new,WELCOME10,99.0,2,99.0,2,CYM-PRO-30|CYM-CRE-30
ord_100012,2025-02-14,new,,68.0,1,68.0,1,CYM-COL-30
ord_100013,2025-02-14,subscriber,,68.25,1,68.25,1,CYM-PRO-30
ord_100014,2025-02-14,returning,,133.0,2,133.0,2,CYM-GLU-30|CYM-OMG-60
ord_100015,2025-02-14,new,,169.0,3,169.0,3,CYM-ASH-30|CYM-OMG-60|CYM-PRO-30
ord_100016,2025-02-14,returning,,256.0,4,256.0,4,CYM-OMG-60|CYM-PRO-30|CYM-MTB-30|CYM-GLU-30
ord_100017,2025-02-14,new,SUB15,55.25,1,55.25,1,CYM-PRO-30
ord_100018,2025-02-14,subscriber,,201.6,3,201.6,3,CYM-MAG-30|CYM-VTC-30|CYM-GLU-30
ord_100019,2025-02-14,subscriber,,60.9,1,60.9,1,CYM-MTB-30
ord_100020,2025-02-14,subscriber,WELCOME10,91.67,2,91.67,2,CYM-VTD-30|CYM-ASH-30
ord_100021,2025-02-14,returning,SUB15,185.3,4,185.3,4,CYM-ASH-30|CYM-OMG-60|CYM-VTC-30|CYM-MAG-30
ord_100022,2025-02-14,subscriber,WELCOME10,199.4,4,199.4,4,CYM-OMG-60|CYM-ASH-30|CYM-CRE-30|CYM-MAG-30
ord_100023,2025-02-14,returning,,52.0,1,52.0,1,CYM-VTC-30
ord_100024,2025-02-14,subscriber,,271.95,4,271.95,4,CYM-GLU-30|CYM-COL-30|CYM-PRO-30|CYM-VTD-30
ord_100025,2025-02-14,subscriber,,121.8,2,121.8,2,CYM-COL-30|CYM-VTD-30
ord_100026,2025-02-14,returning,,101.0,2,101.0,2,CYM-VTC-30|CYM-ASH-30
ord_100027,2025-02-14,subscriber,,150.15,2,150.15,2,CYM-GLU-30|CYM-PRO-30
ord_100028,2025-02-14,returning,,49.0,1,49.0,1,CYM-ASH-30
ord_100029,2025-02-14,subscriber,,97.65,2,97.65,2,CYM-VTD-30|CYM-CRE-30
ord_100030,2025-02-14,subscriber,,50.4,1,50.4,1,CYM-VTD-30
ord_100031,2025-02-14,subscriber,,112.35,2,112.35,2,CYM-MTB-30|CYM-ASH-30
ord_100032,2025-02-14,subscriber,WELCOME10,196.56,3,196.56,3,CYM-MAG-30|CYM-COL-30|CYM-GLU-30
ord_100033,2025-02-14,subscriber,,50.4,1,50.4,1,CYM-VTD-30
ord_100034,2025-02-14,new,,111.0,2,111.0,2,CYM-ASH-30|CYM-MAG-30
ord_100035,2025-02-14,returning,,55.0,1,55.0,1,CYM-OMG-60
ord_100036,2025-02-14,new,WELCOME10,40.5,1,40.5,1,CYM-CRE-30
